NUM,name,address,type,lat,lon,id,label
0,周黑鸭(武汉火车站一店),湖北省武汉市洪山区友谊大道武汉火车站3层候车厅B区1号,中餐,30.61025382,114.4194095,8,1
1,武汉火车站-停车场,武汉市洪山区武汉站东一路,停车场,30.61137742,114.4209826,14,5
2,武汉火车站-停车场,湖北省武汉市洪山区高铁南一路,停车场,30.6073471,114.4196351,15,5
3,武汉火车站-停车场,湖北省武汉市洪山区白云路,停车场,30.60680607,114.4231232,16,5
4,顾高路仓库,湖北省武汉市江岸区武汉天地10号楼,公司,30.610057,114.307044,22,7
5,德克士(武汉火车站店),洪山区友谊大道杨春湖东侧武汉站一层,休闲餐饮,30.60991272,114.417518,41,2
6,武汉航海宾馆(武昌火车站店),"湖北省武汉市武昌区中山路572号,武昌火车站西广场(武昌火车站对面)号(武昌火车站对面)",中餐,30.52939496,114.3083737,54,1
7,深圳虚拟大学-园产业化基地,武汉市江岸区黄孝河路特1号红星美凯龙全球家居生活MallF4,公司,30.62477352,114.2816508,59,7
8,武汉火车站4号停车场,湖北省武汉市洪山区团结大道,停车场,30.61232809,114.4207676,87,5
9,武汉火车站-停车场,湖北省武汉市洪山区团结大道,停车场,30.61269051,114.4174216,88,5
10,武汉火车站-停车场,和谐路与高铁南一路交叉口东北150米,停车场,30.6062146,114.422268,90,5
11,武汉热干面(白云路),湖北省武汉市洪山区友谊大道杨春湖东侧武汉站F1层,中餐,30.61090443,114.4192903,95,1
12,深圳市高特佳投资集团有限公司,湖北省武汉市汉阳区,公司,30.56386249,114.2682242,111,7
13,银朱(北京)投资顾问公司深圳分公司,盘龙城经济开发区盘龙城F学府A2-14,公司,30.73527102,114.2434073,131,7
14,陈记炸酱面(武汉车站铁路派出所西南),武汉市洪山区友谊大道杨春湖东侧,中餐,30.61107686,114.4184922,141,1
15,中国石化(杨春湖加油站),武汉市洪山区武汉火车站团结大道厂前肖家湾105号,加油站,30.61316391,114.4255194,147,6
16,康师傅私房牛肉面(火车站店),武汉市洪山区武汉火车站武广高速铁层候车厅A区2504号,中餐,30.6100371,114.4182189,157,1
17,麦当劳(武昌火车站餐厅),是武汉市武昌区中山路武昌火车站交通综合体B1层架空城(近西出站口),休闲餐饮,30.53202532,114.3118808,205,2
18,锦江之星酒店(发展大道店)-停车场,湖北省武汉市江汉区发展大道215号,停车场,30.61936357,114.2584764,214,5
19,武味周(汉口火车站9店),湖北省武汉市江汉区汉口火车站二楼候车厅中央通道两侧A亭,中餐,30.62077539,114.2498845,219,1
20,华盛奥特莱斯购物中心,湖北省武汉市黄陂区汉口北大道武汉盘龙城经济开发区,购物中心,30.70967876,114.321399,220,3
21,蔡林记热干面馆(武昌火车站店),武汉市武昌区武汉火车站1楼,中餐,30.53211716,114.3111292,272,1
22,德克士(武昌火车站三店),湖北省武汉市武昌区武昌火车站西广场2层,休闲餐饮,30.53279711,114.3122022,277,2
23,聚湘缘酒家,武汉市江汉区银墩路68号,中餐,30.61998133,114.2482283,279,1
24,小胡鸭(武昌火车站店),湖北省武汉市武昌区武昌火车站西广场地下室空间A3商铺,中餐,30.53180856,114.3115118,289,1
25,良品铺子(武昌火车站一分店),武汉市江岸区火车站地下商城B4号铺面,中餐,30.60043132,114.2980253,298,1
26,中国移动(集团客户体验中心),湖北省武汉市江汉区发展大道180号,公司,30.61628,114.2510226,302,7
27,鑫源平价购物广场,湖北省武汉市江汉区兴城大厦B座(欧亚达国际广场东南),便利店,30.61629442,114.249356,319,4
28,肯德基(汉口火车站餐厅),湖北省武汉市江汉区金墩街财神广场1-2层,休闲餐饮,30.61999997,114.2526016,335,2
29,汉味周黑鸭(武昌火车站南店),湖北省武汉市武昌区中山路532号武昌火车站同侧三镇民生甜食馆一楼,中餐,30.53030829,114.3095336,346,1
30,良品铺子(汉口火车站店),湖北省武汉市江汉区金家墩特1号汉口站B1,中餐,30.62003233,114.2503408,347,1
31,李先生(武昌火车站店),湖北省武汉市武昌区中山路武昌站B1层,中餐,30.53204706,114.3117415,357,1
32,金童子(武昌火车站二店),武汉市武昌区中山路武昌站B1层,中餐,30.53190729,114.3116117,363,1
33,顶香牛骨汤(静安路店),武汉市武昌区静安路8号静安上城(近简朴寨旁岗亭),中餐,30.52657666,114.3162431,375,1
34,家义住宿酒家(武昌火车站店),湖北省武汉市武昌区紫阳东路156号(宏基客运站加油站旁),中餐,30.53500691,114.3129979,383,1
35,香港正烧记(汉口火车站店),武汉市江汉区发展大道欧亚达国际广场B1层,中餐,30.61660171,114.2483287,393,1
36,陈记炸酱面(武昌火车站店),湖北省武汉市武昌区中山路武昌站B1层,中餐,30.53171989,114.310751,395,1
37,老济南黄焖鸡米饭(嘉叶店),湖北省武汉市武昌区中山路496号(嘉叶美食广场),中餐,30.53506348,114.3106397,399,1
38,如家快捷酒店(金墩街店)-停车场,湖北省武汉市江汉区汉口站如家快捷酒店,停车场,30.62088792,114.2526901,418,5
39,德克士(武昌火车站店),武昌区火车站地下商城A区A1号,休闲餐饮,30.53073306,114.3108489,491,2
40,周黑鸭(汉口火车站一店),江汉区金家墩特1号汉口火车站2楼候车室,中餐,30.62051015,114.2496063,531,1
41,汉口火车站南广场-地下停车库,江汉区发展大道,停车场,30.61780227,114.2511404,576,5
42,新车站餐馆,湖北省武汉市黄陂区木兰文化生态旅游区蔡店客运站,中餐,31.28654722,114.2941884,637,1
43,上海天擎信息技术有限公司,武汉市黄陂区黄陂大道387号,公司,30.88229667,114.3697836,656,7
44,福莱德汉堡(车站店),湖北省武汉市新洲区平江西路64,休闲餐饮,30.66417085,114.5580923,674,2
45,中国石化(机场西服务区加油站),湖北省武汉市黄陂区武汉盘龙城经济开发区,加油站,30.7330612,114.2274436,708,6
46,口味堂(机场河店),湖北省武汉市江汉区汉口机场河285号小天鹅宾馆旁,中餐,30.60324716,114.2571474,711,1
47,机场三加油站,S19机场二高速附近,加油站,30.71375535,114.1883878,744,6
48,湖北机场集团公司机场建设部,湖北省武汉市黄陂区武汉天河国际机场,公司,30.78186438,114.2149468,748,7
49,深圳市欣豪运通物流有限公司,金福路8号,公司,30.58697669,114.1582794,785,7
50,武汉天河国际机场-地下停车场,湖北省武汉市黄陂区机场大道,停车场,30.77180615,114.2060184,818,5
51,武汉天河国际机场-T2停车场,湖北省武汉市黄陂区天河机场路武汉天河国际机场2号航站楼,停车场,30.7716375,114.2064272,822,5
52,武汉天河机场园林绿化工程公司,武汉市黄陂区机场北三道,公司,30.78134477,114.2154259,848,7
53,武汉天河机场公共区管理部,湖北省武汉市黄陂区,公司,30.78137732,114.2154213,860,7
54,天河机场航空安全保卫分公司,湖北省武汉市黄陂区机场北三道民航湖北机场公安局西南,公司,30.78053533,114.2150567,866,7
55,周黑鸭(天河机场一店),武汉市黄陂区机场大道武汉天河国际机场T2F2,中餐,30.77285906,114.2063288,899,1
56,周黑鸭(天河机场二店),湖北省武汉市黄陂区机场大道武汉天河国际机场T3航站楼,中餐,30.77161774,114.20508,907,1
57,中国石油(武汉机场东加油站),湖北省武汉市黄陂区中国石油武汉机场东加油站,加油站,30.71503361,114.1905667,923,6
58,卡尔顿酒店(天河机场店),天河街春建里44号,中餐,30.80402136,114.2228988,957,1
59,机场餐厅,武汉市建设大道433号,中餐,30.58694277,114.2442139,979,1
60,武汉天河国际机场-停车场,湖北省武汉市黄陂区天河机场路,停车场,30.7709434,114.2049752,992,5
61,天河机场飞行区管理部助航灯光室,武汉东方航空食品有限公司附近,公司,30.78246683,114.2154733,998,7
62,武汉机场航空货站,黄陂区天河机场北连接线机场航空站,公司,30.78834046,114.2204371,1032,7
63,85度C(凌兆路店),湖北省武汉市蔡甸区东风大道816号,休闲餐饮,30.46335999,114.0810394,1033,2
64,好食汇(武汉天河机场店),天河国际机场T2航站楼2层出发大厅,中餐,30.77253141,114.2054972,1051,1
